Date,Country/Region,Confirmed,Deaths,Recovered,Active,New_cases,New_deaths,New_recovered,WHO Region
2020-01-22,Madagascar,0,0,0,0,0,0,0,Africa
2020-01-23,Madagascar,0,0,0,0,0,0,0,Africa
2020-01-24,Madagascar,0,0,0,0,0,0,0,Africa
2020-01-25,Madagascar,0,0,0,0,0,0,0,Africa
2020-01-26,Madagascar,0,0,0,0,0,0,0,Africa
2020-01-27,Madagascar,0,0,0,0,0,0,0,Africa
2020-01-28,Madagascar,0,0,0,0,0,0,0,Africa
2020-01-29,Madagascar,0,0,0,0,0,0,0,Africa
2020-01-30,Madagascar,0,0,0,0,0,0,0,Africa
2020-01-31,Madagascar,0,0,0,0,0,0,0,Africa
2020-02-01,Madagascar,0,0,0,0,0,0,0,Africa
2020-02-02,Madagascar,0,0,0,0,0,0,0,Africa
2020-02-03,Madagascar,0,0,0,0,0,0,0,Africa
2020-02-04,Madagascar,0,0,0,0,0,0,0,Africa
2020-02-05,Madagascar,0,0,0,0,0,0,0,Africa
2020-02-06,Madagascar,0,0,0,0,0,0,0,Africa
2020-02-07,Madagascar,0,0,0,0,0,0,0,Africa
2020-02-08,Madagascar,0,0,0,0,0,0,0,Africa
2020-02-09,Madagascar,0,0,0,0,0,0,0,Africa
2020-02-10,Madagascar,0,0,0,0,0,0,0,Africa
2020-02-11,Madagascar,0,0,0,0,0,0,0,Africa
2020-02-12,Madagascar,0,0,0,0,0,0,0,Africa
2020-02-13,Madagascar,0,0,0,0,0,0,0,Africa
2020-02-14,Madagascar,0,0,0,0,0,0,0,Africa
2020-02-15,Madagascar,0,0,0,0,0,0,0,Africa
2020-02-16,Madagascar,0,0,0,0,0,0,0,Africa
2020-02-17,Madagascar,0,0,0,0,0,0,0,Africa
2020-02-18,Madagascar,0,0,0,0,0,0,0,Africa
2020-02-19,Madagascar,0,0,0,0,0,0,0,Africa
2020-02-20,Madagascar,0,0,0,0,0,0,0,Africa
2020-02-21,Madagascar,0,0,0,0,0,0,0,Africa
2020-02-22,Madagascar,0,0,0,0,0,0,0,Africa
2020-02-23,Madagascar,0,0,0,0,0,0,0,Africa
2020-02-24,Madagascar,0,0,0,0,0,0,0,Africa
2020-02-25,Madagascar,0,0,0,0,0,0,0,Africa
2020-02-26,Madagascar,0,0,0,0,0,0,0,Africa
2020-02-27,Madagascar,0,0,0,0,0,0,0,Africa
2020-02-28,Madagascar,0,0,0,0,0,0,0,Africa
2020-02-29,Madagascar,0,0,0,0,0,0,0,Africa
2020-03-01,Madagascar,0,0,0,0,0,0,0,Africa
2020-03-02,Madagascar,0,0,0,0,0,0,0,Africa
2020-03-03,Madagascar,0,0,0,0,0,0,0,Africa
2020-03-04,Madagascar,0,0,0,0,0,0,0,Africa
2020-03-05,Madagascar,0,0,0,0,0,0,0,Africa
2020-03-06,Madagascar,0,0,0,0,0,0,0,Africa
2020-03-07,Madagascar,0,0,0,0,0,0,0,Africa
2020-03-08,Madagascar,0,0,0,0,0,0,0,Africa
2020-03-09,Madagascar,0,0,0,0,0,0,0,Africa
2020-03-10,Madagascar,0,0,0,0,0,0,0,Africa
2020-03-11,Madagascar,0,0,0,0,0,0,0,Africa
2020-03-12,Madagascar,0,0,0,0,0,0,0,Africa
2020-03-13,Madagascar,0,0,0,0,0,0,0,Africa
2020-03-14,Madagascar,0,0,0,0,0,0,0,Africa
2020-03-15,Madagascar,0,0,0,0,0,0,0,Africa
2020-03-16,Madagascar,0,0,0,0,0,0,0,Africa
2020-03-17,Madagascar,0,0,0,0,0,0,0,Africa
2020-03-18,Madagascar,0,0,0,0,0,0,0,Africa
2020-03-19,Madagascar,0,0,0,0,0,0,0,Africa
2020-03-20,Madagascar,3,0,0,3,3,0,0,Africa
